na_item,unit,geo\time	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
B1GQ,CP_EUR_HAB,LV	8550 	9550 	10870 	11320 	11850 	12430 	12950 	13900 	15130 	16020 	15480 	17480 
B1GQ,CP_EUR_HAB,ME	5050 	5270 	5130 	5410 	5560 	5870 	6350 	6910 	7490 	7960 	6740 	: 
B1GQ,CP_EUR_HAB,MK	3460 e	3660 e	3680 e	3950 e	4140 e	4380 e	4660 e	4840 e	5170 e	: 	: 	: 
B1GQ,CP_EUR_HAB,MT	16440 	16630 	17530 	18650 	20120 	22450 	23130 	25520 	26700 	27820 	25320 	27930 
B1GQ,CP_EUR_HAB,NL	38470 	38960 	38970 	39300 	39820 	40730 	41590 	43090 	44920 	46880 p	45870 p	49000 p
B1GQ,CP_EUR_HAB,NO	66220 	72350 	79000 	77440 	73180 	66980 	63690 	66950 	69710 	67640 	59130 	75400 
B1GQ,CP_EUR_HAB,PL	9400 	9860 	10070 	10190 	10630 	11190 	11110 	12170 	12960 	13900 	13650 	14940 
B1GQ,CP_EUR_HAB,PT	16990 	16680 	16010 	16300 	16640 	17350 	18060 	19020 	19950 	20840 	19430 p	20550 p
B1GQ,CP_EUR_HAB,RO	6200 	6540 	6620 	7190 	7570 	8080 	8630 	9580 	10500 	11520 	11360 p	12480 p
B1GQ,CP_EUR_HAB,RS	4330 	4900 	4680 	5080 	4970 	5040 	5210 	5590 	6140 	6620 	6780 	7780 p
B1GQ,CP_EUR_HAB,SE	39950 	43690 	45170 	46020 	45260 	46480 	46990 	47730 	46260 	46390 	45940 	50910 
B1GQ,CP_EUR_HAB,SI	17750 	18050 	17630 	17700 	18250 	18830 	19590 	20820 	22140 	23170 	22310 	24680 
B1GQ,CP_EUR_HAB,SK	12610 	13240 	13570 	13710 	14040 	14730 	14920 	15530 	16420 	17250 	16860 	17820 
B1GQ,CP_EUR_HAB,TR	8000 	8100 	9090 	9450 	9160 	9930 	9910 	9470 	8090 	8220 	7510 	: 
B1GQ,CP_EUR_HAB,UK	29830 	30230 	33140 	32700 	35780 	40620 	37080 	35730 	36440 	37830 	: 	: 
B1GQ,CP_MEUR,AL	8996.6 	9268.3 	9585.8 	9625.4 	9968.6 	10264.1 	10719.9 	11559.0 	12828.1 	13752.8 p	13068.9 e	: 
B1GQ,CP_MEUR,AT	295896.6 	310128.7 	318653.0 	323910.2 	333146.1 	344269.2 	357608.0 	369361.9 	385424.0 	397518.5 	379320.6 	403370.4 
B1GQ,CP_MEUR,BA	12968.9 	13411.8 	13407.5 	13691.8 	13988.3 	14617.4 	15289.9 	16042.4 	17099.7 	18046.4 	17506.7 	: 
B1GQ,CP_MEUR,BE	363140.1 	375967.8 	386174.7 	392880.0 	403003.3 	416701.4 	430085.3 	445050.1 	460029.4 	478160.7 	456892.9 p	506950.4 p
B1GQ,CP_MEUR,BG	38284.9 	41478.9 	42256.8 	42050.2 	43026.0 	45812.3 	48773.1 	52531.3 	56224.7 	61558.0 	61331.0 	67872.1 p
B1GQ,CP_MEUR,CH	455933.7 	520201.4 	538439.0 	536632.9 	553942.2 	632770.5 	628729.6 	623994.0 	622746.0 	653732.6 	659730.8 	687110.4 
B1GQ,CP_MEUR,CY	19410.0 	19803.0 	19440.8 	17995.0 	17430.2 	17884.0 	18929.3 	20245.3 	21612.6 	23009.9 	21617.9 	23352.8 p
B1GQ,CP_MEUR,CZ	157920.8 	165202.2 	162587.5 	159461.5 	157821.3 	169558.2 	177438.5 	194132.9 	210927.8 	225568.7 	215248.0 	238967.8 
B1GQ,CP_MEUR,DE	2564400.0 	2693560.0 	2745310.0 	2811350.0 	2927430.0 	3026180.0 	3134740.0 	3267160.0 	3367860.0 p	3473350.0 p	3367560.0 p	3570620.0 p
